Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,Is Average d electrons>=5? Yes (1) or no (0),pH,Catalyst Loading (mg/cm2),Catalyst>=1 or not,Overpotential (mV),Grade
Co3O4,Co,0,0,0,0,0,0,6,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,0,14,0.21,0,422,F
3.11NiMnO3/NiMn2O4,Ni,1,0,0,0,0,0,3,0,0,GC,0,0,2.52,0,0,3,0,0,0,0,0,0,2.57,0,13,0.24,0,435,F
NiO,Ni,0,0,0,0,0,0,7,0,0,GC,0,0,1,0,0,0,0,0,0,0,0,0,2.57,0,14,0.35,0,425,F
FeCo9O,Co,0,0,1,3,0,0,7,0,0,GC,0,9,0,1,0,0,0,0,0,0,0,0,2.57,0,13,0.36,0,420,F
Co3O4/NF,Co,1,0,0,0,0,0,6,1,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,2.57,0,13,0.57,0,410,F
Co3O4,Co,0,0,0,0,0,0,2,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,0,14,0.64,0,327,A
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,2.57,0,14,0.84,0,350,A
NiO,Ni,0,0,1,3,0,0,6,0,0,NF,0,0,1,0,0,0,0,0,0,0,0,0,2.57,0,14,1,1,328,A
Co3O4,Co,0,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,0,13,1,1,358,F
Mn2O3,Other TMs,0,0,0,0,0,0,6,0,0,NF,0,0,0,0,0,2,0,0,0,0,0,0,2.57,0,14,3,1,330,A
