Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Overpotential (mV),Stability (h),"iR correction 
"
Zn0.2Co2.8O4,Co,0,0,325,-,1
Zn0.4Co2.6O4,Co,0,0,306,-,1
Zn0.6Co2.4O4,Co,0,0,287,-,1
Zn0.8Co2.2O4,Co,0,0,254,8,1
ZnCo2O4,Co,0,0,300,-,1
Co3O4,Co,0,0,530,-,-
ZnO/Co3O4,Co,1,0,480,-,-
TRGO/ZnO,Co,1,0,560,-,-
TRGO/Co3O4,Co,1,0,260,-,-
TRGO@ZnO/Co3O4 (74% Co3O4),Co,1,0,160,50,-
TRGO@ZnO/Co3O4 (33% Co3O4),Co,1,0,211,-,-
TRGO@ZnO/Co3O4 (80% Co3O4),Co,1,0,202,-,-
TRGO@ZnO/Co3O4 (67% Co3O4),Co,1,0,186,-,-
TRGO@ZnO/Co3O4 (50% Co3O4),Co,1,0,171,-,-
Ni0.25Co0.75Ox,Co,0,0,341,-,1
CoOx,Co,0,0,381,-,1
NiCo2O4,Co,1,0,383,-,-
NiCo2O4,Co,0,0,428,-,-
Co3O4,Co,0,0,469,-,-
Co3O4,Co,0,0,300,-,-
Co3O4 - NC,Co,1,0,380,-,1
Co@Co3O4/NC-CNT,Co,1,0,410,45,-
NiCo2O,Co,0,0,362,-,-
NiCo2O4/graphene,Co,1,0,440,-,-
Co-Nx/C,Co,1,1,300,45.83,-
Co3Mo3N,Co,0,1,290,24,1
CoMoO4,Co,0,0,410,-,1
Co4N,Co,0,1,330,-,1
Co2N0.67,Co,0,1,258,15,1
Co5.47N,Co,0,1,359,-,1
CoNP@NC/NG,Co,1,1,390,-,1
CoxCuyO,Co,0,0,422,50,1
Co3O4@NF,Co,1,0,303,-,1
CoN,Co,0,1,290,30,1
Ir@Co4N,Co,1,1,310,24,1
Co3O4,Co,0,0,290,1.67,1
NiCo2O4,Co,0,0,230,32,1
Co3O4/N-rGO,Co,1,0,680,-,-
Zn-Co3O4,Co,0,0,182,13.8,1
CoO/NGHSs,Co,1,0,330,10,1
RuO2/Co3O4,Co,1,0,302,-,-
NiCo2O4/NLG,Co,1,0,290,-,-
Co2N0.67 - CNT,Co,1,1,310,10,1
Co2N0.67 - CMF,Co,1,1,260,10,1
Co2N0.67 - GN,Co,1,1,280,,1
Co2N0.67 - MPC,Co,1,1,290,,1
Co5.47N,Co,0,1,340,10,1
NiCo2O4,Co,0,0,270,50,1
NiCo2O4,Co,0,0,300,-,1
Cr-NiCo2O4,Co,0,0,230,-,1
Co3O4,Co,0,0,328,-,0
NiCo2O4-2,Co,0,0,290,14,-
NiCo2O4,Co,0,0,340,-,-
NiCo2O4,Co,0,0,363,-,1
NiCo2O4,Co,0,0,494,-,1
Co3O4/Fe2O3/NF,Co,1,0,254,24,-
Co3O4/Fe2O3,Co,1,0,553,-,-
Co3O4/NF,Co,0,0,350,-,-
O-S-Co5.47N@N-RGO,Co,1,1,380,20,1
S-CoO@N-RGO,Co,1,1,426,20,1
N-CG-CoO,Co,1,1,340,1.66,-
CG-CoO,Co,1,0,420,-,-
CoNx@GDY,Co,1,1,260,20,-
CoNx,Co,0,1,330,-,-
Co-CoO/N-rGO,Co,1,1,390,5.55,1
Co-Mo-N-PHP,Co,1,1,294,20,1
Co-Mo-N-PHS,Co,1,1,306,-,1
Co3FeNx/NC-10,Co,1,1,270,40,1
Co4N/NC,Co,1,1,337,-,1
Co@Co4N/MnO-NC,Co,1,1,390,4.4,-
Co@Co4N-NC,Co,1,1,440,-,-
Co@Co4N/H-MnO-NC,Co,1,1,420,-,-
Co3N-NC-2h,Co,1,1,280,24,1
Co-N-NC,Co,1,1,318,-,1
Ni3N,Ni,0,1,470,-,1
