Compound,Compound Class,Composite (Y or N),Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Catalyst Loading (mg/cm2),Overpotential (mV)
NiCo2O4,Co,0,0,0,0,0,6,0,1,GC,0,2,1,0,0,0,0,0,0,0,0,0,3,14,25.5,428
NiCo2O4,Co,0,0,0,0,0,2,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,2.428571429,14,1.06,430
Co3O4,Co,0,1,4,0,0,7,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,1.814285714,14,0.204,430
LiCoO2,Co,0,1,3,0,0,8,0,0,GC,3,1,0,0,0,0,0,0,0,0,0,0,4.5,12.6,0.232,430
Co3O4,Co,0,0,0,0,0,6,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,,433
Fe0.1Ni0.9Co2O4,Co,0,0,0,0,0,2,0,0,NF,0,2,0.1,0.9,0,0,0,0,0,0,0,0,4,14,,435
Co2.25Cr0.75O4,Co,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,1.5,14,0.042,440
Co3O4,Co,0,0,0,0,0,6,0,0,NF,0,3,0,0,0,0,0,0,0,0,0,0,0,14,0.12,440
Co3O4,Co,0,0,0,0,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,1.5,13,0.1,449
Zn-Co3O4,Co,1,0,0,0,0,7,3,1,TM_based,0,3,0,0,0,0,0,0.057,0,0,0,0,2.428571429,13,0.45,182
TRGO@ZnO/Co3O4 (33% Co3O4),Other TMs,1,1,4,0,0,3,2,0,GC,0,0.88,0,0,0,0,0,1,0,0,0,0,,0,0.01,211
FeCoOx-Vo-S,Co,1,0,0,0,1,7,0,0,GC,16,1,0,2,0,0,0,0,0,0,0,0,,14,0.36,217
Co3O4/C,Co,1,1,3,0,0,2,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,0,6,14,0.2,223
NiFeOx/NF,Fe,1,0,0,0,0,7,1,1,NF,0,0,1,1,0,0,0,0,0,0,0,0,,14,,227
NiCo/Fe3O4,Fe,1,0,0,0,0,3,0,1,GC,0,1,1,3,0,0,0,0,0,0,0,0,,14,0.764,238
Co3O4@CoP,Co,1,0,0,0,1,4,1,0,GC,15,1.478,0,0,0,0,0,0,0,0,0,0,2.214285714,14,1,238
Cr-NiCo2O4/NF,Co,1,0,0,0,0,2,1,1,NF,0,2,1,0,0,0,0,0,0.0279,0,0,0,4.892857143,14,1,238
Ni/NiO/NiCo2O4–N-CNT,Ni,1,1,1,1,0,3,0,1,GC,0,2,3,0,0,0,0,0,0,0,0,0,,14,0.24,240
