Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,Is Average d electrons>=5? Yes (1) or no (0),pH,Catalyst Loading (mg/cm2),Catalyst>=1 or not,Overpotential (mV),Grade
Ni3FeN,Ni,0,1,0,0,0,0,3,0,0,GC,0,0,3,1,0,0,0,0,0,0,0,0,6,1,14,0.25,0,210,A
Ni3N,Ni,0,1,0,0,0,0,7,0,0,GC,0,0,3,0,0,0,0,0,0,0,0,0,6,1,13.8,0.25,0,340,A
NiO-Cr2O3,Ni,1,0,1,3,0,0,4,0,0,GC,0,0,1,0,0,0,0,0,2,0,0,0,,,14,0.25,0,270,A
Fe-Co3O4,Co,0,0,0,0,0,0,7,0,1,GC,0,3,0,0.05,0,0,0,0,0,0,0,0,,,14,0.25,0,262,A
Co3O4,Co,0,0,0,0,0,0,7,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,,14,0.25,0,314,A
Co-Mo-N-PHS,Co,1,1,1,3,0,0,6,2,1,GC,0,1.09,0,0,0.23,0,0,0,0,0,0,0,2.428571429,0,14,0.269,0,306,A
Co-Mo-N-PHP,Co,1,1,1,3,0,0,7,2,1,GC,0,0.95,0,0,0.18,0,0,0,0,0,0,0,6,1,14,0.269,0,294,A
Ni1.5Co1.5N (NN),Co,0,1,0,0,0,0,2,0,1,GC,0,1.5,1.5,0,0,0,0,0,0,0,0,0,2,0,14,0.27,0,350,A
P/Ni1.5Co1.5N,Co,0,1,0,0,0,1,2,0,1,GC,15,1.5,1.5,0,0,0,0,0,0,0,0,0,2.428571429,0,14,0.27,0,320,A
F/Ni1.5Co1.5N,Co,0,1,0,0,0,1,2,0,1,GC,9,1.5,1.5,0,0,0,0,0,0,0,0,0,2.428571429,0,14,0.27,0,340,A
NiCoNP,Ni,1,1,0,0,0,1,4,0,1,GC,15,1,1,0,0,0,0,0,0,0,0,0,2.57,0,14,0.27,0,290,A
PF/Ni1.5Co1.5N (NIN),Co,0,1,0,0,0,1,2,0,1,GC,15,1.5,1.5,0,0,0,0,0,0,0,0,0,3.5,0,14,0.27,0,280,A
TiN@Co3O4,Co,1,1,0,0,0,0,4,3,1,TM_based,0,3,0,0,0,0,0,0,0,0,0,1,3.5,0,14,0.27,0,390,F
PF/Co2.25Ni0.75N,Co,0,1,0,0,0,1,2,0,1,GC,15,2.25,0.75,0,0,0,0,0,0,0,0,0,5.573975045,1,14,0.27,0,290,A
Ni1.5Co1.5N,Ni,0,1,0,0,0,0,7,0,0,GC,0,1.5,1.5,0,0,0,0,0,0,0,0,0,5.625,1,14,0.27,0,340,A
PF/Ni3N,Ni,0,1,0,0,0,1,2,0,1,GC,15,0,3,0,0,0,0,0,0,0,0,0,6,1,14,0.27,0,300,A
PF/Ni1.5Co1.5N (NIA),Co,1,1,0,0,0,1,2,0,1,GC,15,1.5,1.5,0,0,0,0,0,0,0,0,0,,,14,0.27,0,310,A
PF/Co3N,Co,0,1,0,0,0,1,2,0,1,GC,15,3,0,0,0,0,0,0,0,0,0,0,,,14,0.27,0,310,A
PF/Co0.75Ni2.25N,Ni,0,1,0,0,0,1,2,0,1,GC,15,0.75,2.25,0,0,0,0,0,0,0,0,0,,,14,0.27,0,340,A
CoMnON/n-rgo,Co,1,1,1,4,1,0,3,2,1,GC,0,1,0,0,0,0.05,0,0,0,0,0,0,,,14,0.27,0,350,A
Co/VN,Co,1,1,0,0,0,0,4,0,1,GC,0,1,0,0,0,0,0,0,0,1,0,0,2.428571429,0,14,0.28,0,320,A
Co2V2O7,Co,0,0,0,0,0,0,7,0,1,GC,0,2,0,0,0,0,0,0,0,2,0,0,2.857,0,14,0.28,0,340,A
MnOx/CNT/NF,Other TMs,1,0,1,1,0,0,6,1,1,NF,0,0,0,0,0,1,0,0,0,0,0,0,3,0,14,0.28,0,270,A
Ni4Mo/MoO2,Ni,1,1,0,0,0,0,2,1,1,GC,0,0,4,0,2,0,0,0,0,0,0,0,4.75,0,14,0.28,0,247,A
MnOx/CNT,Other TMs,1,0,1,1,0,0,6,0,0,GC,0,0,0,0,0,1,0,0,0,0,0,0,5.25,1,14,0.28,0,379,F
Ni−Ni0.2Mo0.8N,Ni,1,1,0,0,0,0,2,1,1,GC,0,0,1.2,0,0.8,0,0,0,0,0,0,0,5.4,1,14,0.28,0,218,A
Nifoam@NiMoO4,Ni,1,1,0,0,0,0,2,1,1,GC,0,0,1,0,1,0,0,0,0,0,0,0,6,1,14,0.28,0,241,A
Ni3N,Ni,1,1,0,0,0,0,7,1,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,,,14,0.28,0,372,F
Co2N,Co,0,1,0,0,0,0,3,0,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,2.857,0,14,0.284,0,413,F
Ni3N,Ni,0,1,0,0,0,0,3,0,0,GC,0,0,3,0,0,0,0,0,0,0,0,0,,,14,0.284,0,388,F
Co3O4,Co,0,0,0,0,0,0,2,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,0,14,0.285,0,414,F
Co4N,Co,0,1,0,0,0,0,1,0,0,GC,0,4,0,0,0,0,0,0,0,0,0,0,2.571428571,0,14,0.285,0,330,A
Co2N,Co,0,1,0,0,0,0,1,0,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,3,0,14,0.285,0,390,F
Co4N,Co,0,1,0,0,0,0,2,0,1,GC,0,4,0,0,0,0,0,0,0,0,0,0,5.229149798,1,13,0.285,0,391,F
Co4N@NC,Co,1,1,1,3,1,0,3,0,1,GC,0,4,0,0,0,0,0,0,0,0,0,0,5.6,1,14,0.285,0,257,A
Co3N,Co,0,1,0,0,0,0,1,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,6,1,14,0.285,0,370,F
Co4N,Co,0,1,0,0,0,0,2,0,1,GC,0,4,0,0,0,0,0,0,0,0,0,0,6,1,14,0.285,0,313,A
Co3O4,Co,0,0,0,0,0,0,2,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,,14,0.285,0,375,F
CoMoO4,Co,1,0,0,0,0,0,6,0,1,GC,0,1,0,0,1,0,0,0,0,0,0,0,,,14,0.285,0,312,A
CoOx /CoNy @CN,Co,1,1,1,2,1,0,3,0,1,GC,0,2,0,0,0,0,0,0,0,0,0,0,,,14,0.288,0,280,A
FeCo-Co4N/NC,Fe,1,1,1,3,1,0,3,0,1,GC,0,1,0,1.461,0,0,0,0,0,0,0,0,6,1,14,0.3,0,280,A
Co3O4/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,3,0,0,0,0,0,0,0,0,0,0,,,14,0.3,0,350,A
CoN / CC,Co,1,1,0,0,0,0,6,2,1,GC,0,1,0,0,0,0,0,0,0,0,0,0,2.428571429,0,14,0.306,0,338,A
Ni3N-CNTs,Ni,1,1,1,1,0,0,7,2,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,2.57,0,14,0.306,0,321,A
Ni3N-MPCs,Ni,1,1,1,3,0,0,7,2,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,4,0,14,0.306,0,364,F
CoN/CC,Co,1,1,0,0,0,0,6,2,1,GC,0,1,0,0,0,0,0,0,0,0,0,0,5.166666667,1,14,0.306,0,276,A
Ni3N/CMFs/Ni3N,Ni,1,1,1,1,0,0,7,2,1,GC,0,0,6,0,0,0,0,0,0,0,0,0,6,1,14,0.306,0,273,A
CoN/CC,Co,1,1,0,0,0,0,5,2,1,GC,0,1,0,0,0,0,0,0,0,0,0,0,,,14,0.306,0,304,A
Ni3N-Gr,Ni,1,1,1,2,0,0,7,2,1,GC,0,0,3,0,0,0,0,0,0,0,0,0,,,14,0.306,0,377,F
Co3O4@C-MWCNT,Co,1,0,1,3,1,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,,14,0.325,0,320,A
Co3O4/Fe2O3/NF,Co,1,0,0,0,0,0,7,1,1,NF,0,3,0,2,0,0,0,0,0,0,0,0,,,14,0.325,0,254,A
Co3O4,Co,0,0,0,0,0,0,7,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,,14,0.34,0,307,A
Co3O4,Co,0,0,0,0,0,0,7,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,,13,0.34,0,335,A
NiO,Ni,0,0,0,0,0,0,7,0,0,GC,0,0,1,0,0,0,0,0,0,0,0,0,2.57,0,14,0.35,0,425,F
Co/CoN-NC,Co,1,1,1,3,1,0,3,0,1,GC,0,0.1151,0,0,0,0,0,0,0,0,0,0,5.166666667,1,14,0.35,0,306,A
NiCo2O4,Ni,0,0,0,0,0,0,7,0,0,GC,0,2,1,0,0,0,0,0,0,0,0,0,5.6,1,14,0.35,0,333,A
Ni3N,Ni,0,1,0,0,0,0,3,0,0,NF,0,0,3,0,0,0,0,0,0,0,0,0,6.3,1,14,0.35,0,430,F
Ni3FeN,Ni,0,1,0,0,0,0,1,0,0,NF,0,0,3,1,0,0,0,0,0,0,0,0,,,14,0.35,0,320,A
Ni3FeN,Ni,0,1,0,0,0,0,3,0,0,NF,0,0,2.83,1.03,0,0,0,0,0,0,0,0,,,14,0.35,0,280,A
Co/CoN/Co2P-NPC,Co,1,1,1,3,1,1,4,0,1,GC,15,0.1394,0,0,0,0,0,0,0,0,0,0,,,14,0.35,0,272,A
