Compound,Compound Class,Composite (Y or N),Oxided or nitrided,Presence of Carbon,Carbon Structures,N-doped Carbon Structure (0 or 1),Doping (other than TMs),Morphology Category,Grown on,"Porous - 1, Non-Porous - 0",Substrates,Presence of atoms (other than TMs),Cobalt atoms,Nickel atoms,Iron atoms,Molybdenum atoms,Manganese atoms,Copper atoms,Zinc atoms,Chromium Atoms,Vanadium Atoms,Tungsten atoms,Titanium atoms,Average d electrons,pH,Concentration Electrolyte,Catalyst Loading (mg/cm2),Overpotential (mV)
F/Ni1.5Co1.5N,Co,0,1,0,0,0,1,2,0,1,GC,9,1.5,1.5,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.27,340
LiCo0.8Fe0.2O2,Co,0,0,1,3,0,0,8,0,0,GC,3,0.8,0,0.2,0,0,0,0,0,0,0,0,5.6,12.6,0.1,0.232,340
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,,14,1,1.26,344
FeCo3O,Co,0,0,1,3,0,0,7,0,0,GC,0,3,0,1,0,0,0,0,0,0,0,0,5.625,13,0.1,0.36,348
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,2.57,14,1,0.84,350
CoZn(3:1)-N,Co,0,1,0,0,0,0,7,0,1,GC,0,3,0,0,0,0,0,1,0,0,0,0,2.42,14,1,0.458,350
Ni1.5Co1.5N (NN),Co,0,1,0,0,0,0,2,0,1,GC,0,1.5,1.5,0,0,0,0,0,0,0,0,0,2,14,1,0.27,350
Fe0.5Ni0.5Co2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0.5,0.5,0,0,0,0,0,0,0,0,,14,1,,350
4%Te-Co3O4,Co,0,0,0,0,0,1,3,0,0,GC,52,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.24,353
CoOx,Co,0,0,0,0,0,0,8,0,0,GC,0,1,0,0,0,0,0,0,0,0,0,0,1.615384615,14,1,0.4,353
8%Te-Co3O4,Co,0,0,0,0,0,1,3,0,0,GC,52,3,0,0,0,0,0,0,0,0,0,0,,14,1,0.24,358
Co3O4,Co,0,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.57,13,0.1,1,358
Co3V2O8,Co,0,0,0,0,0,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,2,0,0,3.285714286,14,1,0.21,359
Co5.47N,Co,0,1,0,0,0,0,6,0,0,GC,0,5.47,0,0,0,0,0,0,0,0,0,0,,14,1,0.469,359
Co2.5Cr0.5O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.5,0,0,0,0,0,0,0.5,0,0,0,6,14,1,0.84,360
CoZn(1:1)-N,Co,0,1,0,0,0,0,7,0,1,GC,0,1,0,0,0,0,0,1,0,0,0,0,6,14,1,0.458,360
NiCo2O4,Co,0,0,0,0,0,0,6,0,1,NF,0,2,1,0,0,0,0,0,0,0,0,0,6,14,1,0.12,360
Co6.7Fe3.3Ox,Co,0,0,1,2,1,0,7,0,1,GC,0,6.7,0,3.3,0,0,0,0,0,0,0,0,3.5,14,1,0.357,362
NixCo3–xO4,Co,0,0,0,0,0,0,6,0,1,GC,0,2.25,1,0,0,0,0,0,0,0,0,0,5.25,14,1,0.21,363
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,4,14,1,0.42,367
CoO,Co,0,0,0,0,0,0,3,0,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,4.857142857,14,1,2.5,369
Co2CrO4,Co,0,0,0,0,0,0,3,0,0,GC,0,2,0,0,0,0,0,0,1,0,0,0,5.15,14,1,0.84,370
Co3N,Co,0,1,0,0,0,0,1,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,6,14,1,0.285,370
CoMn(1:1)-N,Co,0,1,0,0,0,0,7,0,1,GC,0,1,0,0,0,1,0,0,0,0,0,0,1.5,14,1,0.458,370
CoMoNx,Co,0,1,0,0,0,0,7,0,0,GC,0,1,0,0,1,0,0,0,0,0,0,0,2.428571429,14,1,7.25,370
Co3O4,Co,0,0,0,0,0,0,7,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,6,14,1,,374
Co3O4,Co,0,0,0,0,0,0,3,0,0,GC,0,3,0,0,0,0,0,0,0,0,0,0,,14,1,0.24,374
Co3O4,Co,0,0,0,0,0,0,2,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,,14,1,0.285,375
CoGaOx,Co,0,0,0,0,0,1,8,0,0,carbon_based,31,1,0,0,0,0,0,0,0,0,0,0,6,14,1,0.4,377
CoGaOx,Co,0,0,0,0,0,1,8,0,0,GC,31,1,0,0,0,0,0,0,0,0,0,0,,14,1,0.4,378
CoGaOx,Co,0,0,0,0,0,1,8,0,0,TM_based,31,1,0,0,0,0,0,0,0,0,0,0,,14,1,0.4,378
NiCo2O4,Co,0,0,0,0,0,0,2,2,1,carbon_based,0,2,1,0,0,0,0,0,0,0,0,0,5.918083462,14,1,0.6,380
Co1.25Cr1.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,1.25,0,0,0,0,0,0,1.75,0,0,0,2.857,14,1,0.84,380
Co1.75Cr1.25O4,Co,0,0,0,0,0,0,3,0,0,GC,0,1.75,0,0,0,0,0,0,1.25,0,0,0,,14,1,0.84,380
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,1.814285714,14,1,0.21,380
Co2.75Cr0.25O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.75,0,0,0,0,0,0,0.25,0,0,0,,14,1,0.84,380
ZnCo2O4,Co,0,0,0,0,0,0,6,0,1,GC,0,2,0,0,0,0,0,1,0,0,0,0,2.035714286,14,1,0.21,380
Fe0.25Ni0.75Co2O4,Co,0,0,0,0,0,0,2,0,0,NF,0,2,0.75,0.25,0,0,0,0,0,0,0,0,4.25,14,1,,380
Co3O4,Co,0,0,0,0,0,0,3,0,1,GC,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,14,1,0.21,384
Co3O4,Co,0,0,0,0,0,0,6,0,1,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,1.333333333,14,1,0.5,390
Co1.5Cr1.5O4,Co,0,0,0,0,0,0,3,0,0,GC,0,1.5,0,0,0,0,0,0,1.5,0,0,0,3,14,1,0.84,390
Co2N,Co,0,1,0,0,0,0,1,0,0,GC,0,2,0,0,0,0,0,0,0,0,0,0,3,14,1,0.285,390
Co4N,Co,0,1,0,0,0,0,2,0,1,GC,0,4,0,0,0,0,0,0,0,0,0,0,5.229149798,13,0.1,0.285,391
CoOx,Co,0,0,0,0,0,0,8,0,0,carbon_based,0,1,0,0,0,0,0,0,0,0,0,0,,14,1,0.4,394
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,2.428571429,14,1,0.168,394
CuxCo3–xO4,Co,0,0,0,0,0,0,6,0,1,GC,0,2,0,0,0,0,1,0,0,0,0,0,,14,1,0.21,395
Co3O4,Co,0,0,0,0,0,0,5,0,0,carbon_based,0,3,0,0,0,0,0,0,0,0,0,0,2.428571429,13,0.1,,399
Co2.25Cr0.75O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2.25,0,0,0,0,0,0,0.75,0,0,0,,14,1,0.126,400
CoCr2O4,Co,0,0,0,0,0,0,3,0,0,GC,0,1,0,0,0,0,0,0,2,0,0,0,4,14,1,0.84,400
CoMn(1:3)-N,Co,0,1,0,0,0,0,7,0,1,GC,0,1,0,0,0,3,0,0,0,0,0,0,6,14,1,0.458,400
CuCo2O4,Co,0,0,0,0,0,0,3,0,0,GC,0,2,0,0,0,0,1,0,0,0,0,0,6,14,1,0.14,400
FeCoO,Co,0,0,1,3,0,0,3,0,0,GC,0,1,0,1,0,0,0,0,0,0,0,0,2.428571429,13,0.1,0.36,400
